FullDate,MeanTemp
1/1/2021,-27.9
1/2/2021,-27.2
1/3/2021,-29.3
1/4/2021,-26.7
1/5/2021,-25.8
1/6/2021,-26
1/7/2021,-16.6
1/8/2021,-17.5
1/9/2021,-24.3
1/10/2021,-16
1/11/2021,-12.9
1/12/2021,-26.6
1/13/2021,-23.8
1/14/2021,-22.7
1/15/2021,-20.7
1/16/2021,-19.7
1/17/2021,-9
1/18/2021,-7
1/19/2021,-14.6
1/20/2021,-24.9
1/21/2021,-23.8
1/22/2021,-13
1/23/2021,-19.4
1/24/2021,-20
1/25/2021,-34.5
1/26/2021,-39.3
1/27/2021,-19.3
1/28/2021,-7.8
1/29/2021,-4.4
1/30/2021,-13.7
1/31/2021,-27.7
2/1/2021,-25.8
2/2/2021,-24.9
2/3/2021,-10.4
2/4/2021,-6.3
2/5/2021,-12.9
2/6/2021,-8.2
2/7/2021,-0.1
2/8/2021,-3.1
2/9/2021,-8.4
2/10/2021,-17.1
2/11/2021,-23.9
2/12/2021,-29.4
2/13/2021,-31.2
2/14/2021,-17.7
2/15/2021,-6.1
2/16/2021,-2.7
2/17/2021,-3.9
2/18/2021,-13.5
2/19/2021,-9.1
2/20/2021,-18
2/21/2021,-21.2
2/22/2021,-15
2/23/2021,-24
2/24/2021,-24.6
2/25/2021,-14.7
2/26/2021,-20.9
2/27/2021,-22
2/28/2021,-24.6
3/1/2021,-11.5
3/2/2021,-11.6
3/3/2021,-13.7
3/4/2021,-9.1
3/5/2021,-3.6
3/6/2021,-3.1
3/7/2021,-3.6
3/8/2021,-8.2
3/9/2021,-5.1
3/10/2021,-9.5
3/11/2021,-1.1
3/12/2021,-5.7
3/13/2021,-17.5
3/14/2021,-15.7
3/15/2021,-15.9
3/16/2021,-11.9
3/17/2021,-10.6
3/18/2021,-11.7
3/19/2021,-9.3
3/20/2021,-4.7
3/21/2021,1.7
3/22/2021,1.4
3/23/2021,1
3/24/2021,-2
3/25/2021,-1.7
3/26/2021,-1.6
3/27/2021,-1.4
3/28/2021,0.8
3/29/2021,1.1
3/30/2021,-2.6
